SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 20:59:58.452675,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-36
1,DC:A6:32:33:CA:E1,2020-07-04 20:59:59.128111,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
2,DC:A6:32:33:CA:E1,2020-07-04 21:00:00.067623,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
3,DC:A6:32:33:CA:E1,2020-07-04 21:00:01.737660,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-30
4,DC:A6:32:33:CA:E1,2020-07-04 21:00:02.996987,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
5,DC:A6:32:33:CA:E1,2020-07-04 21:00:03.060662,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
6,DC:A6:32:33:CA:E1,2020-07-04 21:00:04.085756,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
7,DC:A6:32:33:CA:E1,2020-07-04 21:00:05.507037,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
8,DC:A6:32:33:CA:E1,2020-07-04 21:00:06.040752,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
9,DC:A6:32:33:CA:E1,2020-07-04 21:00:07.048431,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-27
10,DC:A6:32:33:CA:E1,2020-07-04 21:00:08.229617,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
11,DC:A6:32:33:CA:E1,2020-07-04 21:00:09.587163,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
12,DC:A6:32:33:CA:E1,2020-07-04 21:00:10.230863,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
13,DC:A6:32:33:CA:E1,2020-07-04 21:00:11.355910,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-29
14,DC:A6:32:33:CA:E1,2020-07-04 21:00:12.029655,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
15,DC:A6:32:33:CA:E1,2020-07-04 21:00:13.028483,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
16,DC:A6:32:33:CA:E1,2020-07-04 21:00:15.033541,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
17,DC:A6:32:33:CA:E1,2020-07-04 21:00:16.891089,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-33
18,DC:A6:32:33:CA:E1,2020-07-04 21:00:17.059760,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-35
19,DC:A6:32:33:CA:E1,2020-07-04 21:00:19.064924,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-27
20,DC:A6:32:33:CA:E1,2020-07-04 21:00:21.069925,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
21,DC:A6:32:33:CA:E1,2020-07-04 21:00:23.074984,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
22,DC:A6:32:33:CA:E1,2020-07-04 21:00:24.680056,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
23,DC:A6:32:33:CA:E1,2020-07-04 21:00:25.214405,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
24,DC:A6:32:33:CA:E1,2020-07-04 21:00:26.578857,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
25,DC:A6:32:33:CA:E1,2020-07-04 21:00:27.123158,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
26,DC:A6:32:33:CA:E1,2020-07-04 21:00:28.197591,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-29
27,DC:A6:32:33:CA:E1,2020-07-04 21:00:29.297012,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-34
28,DC:A6:32:33:CA:E1,2020-07-04 21:00:30.112702,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-28
29,DC:A6:32:33:CA:E1,2020-07-04 21:00:32.117751,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
30,DC:A6:32:33:CA:E1,2020-07-04 21:00:34.122765,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
31,DC:A6:32:33:CA:E1,2020-07-04 21:00:35.711551,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
32,DC:A6:32:33:CA:E1,2020-07-04 21:00:36.086523,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-33
33,DC:A6:32:33:CA:E1,2020-07-04 21:00:37.567906,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
