SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
45,DC:A6:32:33:CA:E1,2020-07-04 22:09:17.079229,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
46,DC:A6:32:33:CA:E1,2020-07-04 22:09:18.257425,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
47,DC:A6:32:33:CA:E1,2020-07-04 22:09:19.605094,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
48,DC:A6:32:33:CA:E1,2020-07-04 22:09:21.610324,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
49,DC:A6:32:33:CA:E1,2020-07-04 22:09:22.007884,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
50,DC:A6:32:33:CA:E1,2020-07-04 22:09:23.078288,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
51,DC:A6:32:33:CA:E1,2020-07-04 22:09:25.082635,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
52,DC:A6:32:33:CA:E1,2020-07-04 22:09:27.087386,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-78
53,DC:A6:32:33:CA:E1,2020-07-04 22:09:29.092403,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
54,DC:A6:32:33:CA:E1,2020-07-04 22:09:30.191205,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
55,DC:A6:32:33:CA:E1,2020-07-04 22:09:31.028927,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
56,DC:A6:32:33:CA:E1,2020-07-04 22:09:32.814432,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
57,DC:A6:32:33:CA:E1,2020-07-04 22:09:34.276310,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
58,DC:A6:32:33:CA:E1,2020-07-04 22:09:36.066891,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
59,DC:A6:32:33:CA:E1,2020-07-04 22:09:37.546399,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
60,DC:A6:32:33:CA:E1,2020-07-04 22:09:38.632371,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
61,DC:A6:32:33:CA:E1,2020-07-04 22:09:39.172187,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
62,DC:A6:32:33:CA:E1,2020-07-04 22:09:40.256870,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-73
63,DC:A6:32:33:CA:E1,2020-07-04 22:09:41.074104,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-75
64,DC:A6:32:33:CA:E1,2020-07-04 22:09:43.024871,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
65,DC:A6:32:33:CA:E1,2020-07-04 22:09:45.029557,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
66,DC:A6:32:33:CA:E1,2020-07-04 22:09:46.613582,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
67,DC:A6:32:33:CA:E1,2020-07-04 22:09:47.597138,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
68,DC:A6:32:33:CA:E1,2020-07-04 22:09:48.140109,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-77
69,DC:A6:32:33:CA:E1,2020-07-04 22:09:49.489975,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-76
70,DC:A6:32:33:CA:E1,2020-07-04 22:09:51.494680,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
71,DC:A6:32:33:CA:E1,2020-07-04 22:09:52.199457,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-74
