SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 21:05:06.194389,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
1,DC:A6:32:33:CA:E1,2020-07-04 21:05:07.305214,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
2,DC:A6:32:33:CA:E1,2020-07-04 21:05:08.122729,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
3,DC:A6:32:33:CA:E1,2020-07-04 21:05:09.270263,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
4,DC:A6:32:33:CA:E1,2020-07-04 21:05:10.029008,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
5,DC:A6:32:33:CA:E1,2020-07-04 21:05:11.935939,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
6,DC:A6:32:33:CA:E1,2020-07-04 21:05:12.016458,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
7,DC:A6:32:33:CA:E1,2020-07-04 21:05:13.019628,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
8,DC:A6:32:33:CA:E1,2020-07-04 21:05:14.382165,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
9,DC:A6:32:33:CA:E1,2020-07-04 21:05:15.199011,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
10,DC:A6:32:33:CA:E1,2020-07-04 21:05:16.289036,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
11,DC:A6:32:33:CA:E1,2020-07-04 21:05:18.294173,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
12,DC:A6:32:33:CA:E1,2020-07-04 21:05:20.074183,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
13,DC:A6:32:33:CA:E1,2020-07-04 21:05:22.079169,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
14,DC:A6:32:33:CA:E1,2020-07-04 21:05:23.070348,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
15,DC:A6:32:33:CA:E1,2020-07-04 21:05:25.075522,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-34
16,DC:A6:32:33:CA:E1,2020-07-04 21:05:26.154219,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
17,DC:A6:32:33:CA:E1,2020-07-04 21:05:27.245408,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
18,DC:A6:32:33:CA:E1,2020-07-04 21:05:28.664216,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
19,DC:A6:32:33:CA:E1,2020-07-04 21:05:29.211672,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
20,DC:A6:32:33:CA:E1,2020-07-04 21:05:31.216793,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
21,DC:A6:32:33:CA:E1,2020-07-04 21:05:33.221755,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-30
22,DC:A6:32:33:CA:E1,2020-07-04 21:05:34.284272,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-30
23,DC:A6:32:33:CA:E1,2020-07-04 21:05:35.035510,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
24,DC:A6:32:33:CA:E1,2020-07-04 21:05:36.730623,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
25,DC:A6:32:33:CA:E1,2020-07-04 21:05:37.249296,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-34
26,DC:A6:32:33:CA:E1,2020-07-04 21:05:38.336846,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
27,DC:A6:32:33:CA:E1,2020-07-04 21:05:39.221876,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-30
28,DC:A6:32:33:CA:E1,2020-07-04 21:05:41.226989,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-30
29,DC:A6:32:33:CA:E1,2020-07-04 21:05:42.715347,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
30,DC:A6:32:33:CA:E1,2020-07-04 21:05:43.027501,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
31,DC:A6:32:33:CA:E1,2020-07-04 21:05:45.032053,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
32,DC:A6:32:33:CA:E1,2020-07-04 21:05:47.036970,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
33,DC:A6:32:33:CA:E1,2020-07-04 21:05:49.042011,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
34,DC:A6:32:33:CA:E1,2020-07-04 21:05:51.047025,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-30
35,DC:A6:32:33:CA:E1,2020-07-04 21:05:52.501347,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
36,DC:A6:32:33:CA:E1,2020-07-04 21:05:54.134930,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
37,DC:A6:32:33:CA:E1,2020-07-04 21:05:55.252091,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
38,DC:A6:32:33:CA:E1,2020-07-04 21:05:56.003272,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
39,DC:A6:32:33:CA:E1,2020-07-04 21:05:58.008504,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
40,DC:A6:32:33:CA:E1,2020-07-04 21:06:00.013483,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-30
41,DC:A6:32:33:CA:E1,2020-07-04 21:06:02.017825,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
42,DC:A6:32:33:CA:E1,2020-07-04 21:06:03.955272,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-30
43,DC:A6:32:33:CA:E1,2020-07-04 21:06:04.019616,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
44,DC:A6:32:33:CA:E1,2020-07-04 21:06:06.024771,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
45,DC:A6:32:33:CA:E1,2020-07-04 21:06:08.029735,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-27
46,DC:A6:32:33:CA:E1,2020-07-04 21:06:10.034835,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
47,DC:A6:32:33:CA:E1,2020-07-04 21:06:12.039860,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
48,DC:A6:32:33:CA:E1,2020-07-04 21:06:14.044833,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
49,DC:A6:32:33:CA:E1,2020-07-04 21:06:15.007337,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
50,DC:A6:32:33:CA:E1,2020-07-04 21:06:17.012371,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-34
51,DC:A6:32:33:CA:E1,2020-07-04 21:06:19.017459,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
52,DC:A6:32:33:CA:E1,2020-07-04 21:06:20.772476,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
53,DC:A6:32:33:CA:E1,2020-07-04 21:06:21.857415,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
54,DC:A6:32:33:CA:E1,2020-07-04 21:06:22.065495,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
55,DC:A6:32:33:CA:E1,2020-07-04 21:06:24.073409,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-34
56,DC:A6:32:33:CA:E1,2020-07-04 21:06:25.942588,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
57,DC:A6:32:33:CA:E1,2020-07-04 21:06:26.032462,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
58,DC:A6:32:33:CA:E1,2020-07-04 21:06:28.037547,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
59,DC:A6:32:33:CA:E1,2020-07-04 21:06:29.195901,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
60,DC:A6:32:33:CA:E1,2020-07-04 21:06:30.023885,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
61,DC:A6:32:33:CA:E1,2020-07-04 21:06:31.387585,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
62,DC:A6:32:33:CA:E1,2020-07-04 21:06:32.723896,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-25
63,DC:A6:32:33:CA:E1,2020-07-04 21:06:33.215075,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
64,DC:A6:32:33:CA:E1,2020-07-04 21:06:35.220267,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
65,DC:A6:32:33:CA:E1,2020-07-04 21:06:36.013938,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-34
66,DC:A6:32:33:CA:E1,2020-07-04 21:06:37.342700,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-34
67,DC:A6:32:33:CA:E1,2020-07-04 21:06:39.002717,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
68,DC:A6:32:33:CA:E1,2020-07-04 21:06:40.006486,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-26
69,DC:A6:32:33:CA:E1,2020-07-04 21:06:42.010415,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
70,DC:A6:32:33:CA:E1,2020-07-04 21:06:43.814124,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
71,DC:A6:32:33:CA:E1,2020-07-04 21:06:44.075258,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-32
72,DC:A6:32:33:CA:E1,2020-07-04 21:06:46.079182,d5050dfc-be57-11ea-a50f-dca63233cae0,1,1,1,-31
