SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 22:54:35.758758,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
1,DC:A6:32:33:CA:E1,2020-07-04 22:54:36.017815,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
2,DC:A6:32:33:CA:E1,2020-07-04 22:54:38.023216,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
3,DC:A6:32:33:CA:E1,2020-07-04 22:54:39.248240,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
4,DC:A6:32:33:CA:E1,2020-07-04 22:54:40.040736,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
5,DC:A6:32:33:CA:E1,2020-07-04 22:54:42.045879,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-83
6,DC:A6:32:33:CA:E1,2020-07-04 22:54:44.050968,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
7,DC:A6:32:33:CA:E1,2020-07-04 22:54:46.055973,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
8,DC:A6:32:33:CA:E1,2020-07-04 22:54:47.009723,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
9,DC:A6:32:33:CA:E1,2020-07-04 22:54:49.014827,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
10,DC:A6:32:33:CA:E1,2020-07-04 22:54:51.019195,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-85
11,DC:A6:32:33:CA:E1,2020-07-04 22:54:53.024895,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
12,DC:A6:32:33:CA:E1,2020-07-04 22:54:54.870066,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
13,DC:A6:32:33:CA:E1,2020-07-04 22:54:55.041186,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-83
14,DC:A6:32:33:CA:E1,2020-07-04 22:54:57.046209,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
15,DC:A6:32:33:CA:E1,2020-07-04 22:54:58.168796,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-84
16,DC:A6:32:33:CA:E1,2020-07-04 22:54:59.690065,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
17,DC:A6:32:33:CA:E1,2020-07-04 22:55:00.056321,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
18,DC:A6:32:33:CA:E1,2020-07-04 22:55:02.061383,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
19,DC:A6:32:33:CA:E1,2020-07-04 22:55:04.066377,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
20,DC:A6:32:33:CA:E1,2020-07-04 22:55:05.348802,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
21,DC:A6:32:33:CA:E1,2020-07-04 22:55:06.225168,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
22,DC:A6:32:33:CA:E1,2020-07-04 22:55:07.451575,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
23,DC:A6:32:33:CA:E1,2020-07-04 22:55:09.456505,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
24,DC:A6:32:33:CA:E1,2020-07-04 22:55:11.175450,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
25,DC:A6:32:33:CA:E1,2020-07-04 22:55:13.180476,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
26,DC:A6:32:33:CA:E1,2020-07-04 22:55:15.185428,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
27,DC:A6:32:33:CA:E1,2020-07-04 22:55:16.051631,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
28,DC:A6:32:33:CA:E1,2020-07-04 22:55:17.069145,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
29,DC:A6:32:33:CA:E1,2020-07-04 22:55:18.485400,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
30,DC:A6:32:33:CA:E1,2020-07-04 22:55:19.253540,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
31,DC:A6:32:33:CA:E1,2020-07-04 22:55:20.147919,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
32,DC:A6:32:33:CA:E1,2020-07-04 22:55:21.310516,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
33,DC:A6:32:33:CA:E1,2020-07-04 22:55:23.315579,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
34,DC:A6:32:33:CA:E1,2020-07-04 22:55:24.321773,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
35,DC:A6:32:33:CA:E1,2020-07-04 22:55:25.632498,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
36,DC:A6:32:33:CA:E1,2020-07-04 22:55:26.229898,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
37,DC:A6:32:33:CA:E1,2020-07-04 22:55:27.464944,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-83
38,DC:A6:32:33:CA:E1,2020-07-04 22:55:29.470687,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
39,DC:A6:32:33:CA:E1,2020-07-04 22:55:30.386381,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
40,DC:A6:32:33:CA:E1,2020-07-04 22:55:32.392116,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
41,DC:A6:32:33:CA:E1,2020-07-04 22:55:33.518278,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
42,DC:A6:32:33:CA:E1,2020-07-04 22:55:34.469553,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
43,DC:A6:32:33:CA:E1,2020-07-04 22:55:36.474567,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
44,DC:A6:32:33:CA:E1,2020-07-04 22:55:38.479722,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
45,DC:A6:32:33:CA:E1,2020-07-04 22:55:39.489610,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
46,DC:A6:32:33:CA:E1,2020-07-04 22:55:40.848381,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
47,DC:A6:32:33:CA:E1,2020-07-04 22:55:41.020846,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
48,DC:A6:32:33:CA:E1,2020-07-04 22:55:42.490990,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
49,DC:A6:32:33:CA:E1,2020-07-04 22:55:44.496078,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
50,DC:A6:32:33:CA:E1,2020-07-04 22:55:45.168447,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
51,DC:A6:32:33:CA:E1,2020-07-04 22:55:46.472906,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
52,DC:A6:32:33:CA:E1,2020-07-04 22:55:47.628533,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
53,DC:A6:32:33:CA:E1,2020-07-04 22:55:48.019747,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
54,DC:A6:32:33:CA:E1,2020-07-04 22:55:50.024918,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
55,DC:A6:32:33:CA:E1,2020-07-04 22:55:52.029967,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
56,DC:A6:32:33:CA:E1,2020-07-04 22:55:53.236225,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
57,DC:A6:32:33:CA:E1,2020-07-04 22:55:54.151150,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
58,DC:A6:32:33:CA:E1,2020-07-04 22:55:55.068751,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
59,DC:A6:32:33:CA:E1,2020-07-04 22:55:56.016251,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
60,DC:A6:32:33:CA:E1,2020-07-04 22:55:57.568804,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
61,DC:A6:32:33:CA:E1,2020-07-04 22:55:58.360062,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
62,DC:A6:32:33:CA:E1,2020-07-04 22:55:59.090073,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
63,DC:A6:32:33:CA:E1,2020-07-04 22:56:01.093904,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
64,DC:A6:32:33:CA:E1,2020-07-04 22:56:02.148911,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
65,DC:A6:32:33:CA:E1,2020-07-04 22:56:04.153947,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
66,DC:A6:32:33:CA:E1,2020-07-04 22:56:05.132727,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
67,DC:A6:32:33:CA:E1,2020-07-04 22:56:06.413965,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
68,DC:A6:32:33:CA:E1,2020-07-04 22:56:08.419043,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
69,DC:A6:32:33:CA:E1,2020-07-04 22:56:09.292733,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
70,DC:A6:32:33:CA:E1,2020-07-04 22:56:11.039066,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
71,DC:A6:32:33:CA:E1,2020-07-04 22:56:12.637877,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
72,DC:A6:32:33:CA:E1,2020-07-04 22:56:13.159220,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
73,DC:A6:32:33:CA:E1,2020-07-04 22:56:14.079105,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
74,DC:A6:32:33:CA:E1,2020-07-04 22:56:15.562868,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-82
