SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:CA:E1,2020-07-04 22:50:14.460305,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
1,DC:A6:32:33:CA:E1,2020-07-04 22:50:15.202364,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
2,DC:A6:32:33:CA:E1,2020-07-04 22:50:17.207471,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
3,DC:A6:32:33:CA:E1,2020-07-04 22:50:19.212445,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
4,DC:A6:32:33:CA:E1,2020-07-04 22:50:20.008756,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
5,DC:A6:32:33:CA:E1,2020-07-04 22:50:22.013798,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
6,DC:A6:32:33:CA:E1,2020-07-04 22:50:24.018754,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
7,DC:A6:32:33:CA:E1,2020-07-04 22:50:26.023888,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
8,DC:A6:32:33:CA:E1,2020-07-04 22:50:28.028893,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
9,DC:A6:32:33:CA:E1,2020-07-04 22:50:30.031406,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
10,DC:A6:32:33:CA:E1,2020-07-04 22:50:32.036429,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
11,DC:A6:32:33:CA:E1,2020-07-04 22:50:33.331459,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
12,DC:A6:32:33:CA:E1,2020-07-04 22:50:34.147761,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-77
13,DC:A6:32:33:CA:E1,2020-07-04 22:50:35.882736,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
14,DC:A6:32:33:CA:E1,2020-07-04 22:50:36.015786,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
15,DC:A6:32:33:CA:E1,2020-07-04 22:50:38.020274,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
16,DC:A6:32:33:CA:E1,2020-07-04 22:50:40.025323,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
17,DC:A6:32:33:CA:E1,2020-07-04 22:50:42.030402,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-80
18,DC:A6:32:33:CA:E1,2020-07-04 22:50:44.035476,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-79
19,DC:A6:32:33:CA:E1,2020-07-04 22:50:46.040448,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
20,DC:A6:32:33:CA:E1,2020-07-04 22:50:47.235493,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-78
21,DC:A6:32:33:CA:E1,2020-07-04 22:50:49.240616,396df544-be6a-11ea-b5c0-dca63233cae0,1,1,1,-81
